Japanese	English
PL　m2080　松明01	PL m2080 torch 01
PL　m2090　松明01	PL m2090 torch 01
PL　m2100　松明01	PL m2100 torch 01
PL　m2100　松明02	PL m2100 torch 02
PL　m2100　松明03	PL m2100 torch 03
PL　m2120　松明01	PL m2120 torch 01
PL　m2120　松明02	PL m2120 torch 02
PL　m2122　松明01	PL m2122 torch 01
PL　m2130　松明01	PL m2130 torch 01
PL　m2130　松明02	PL m2130 torch 02
PL　m2130　松明03	PL m2130 torch 03
PL　m2200　松明01	PL m2200 torch 01
PL　m2210　松明01	PL m2210 torch 01
PL　m2210　松明02	PL m2210 torch 02
PL　m2220　松明01	PL m2220 torch 01
PL　m2230　松明01	PL m2230 torch 01
PL　m2240　松明01	PL m2240 torch 01
PL　m2250　松明01	PL m2250 torch 01
PL　m2260　松明01	PL m2260 torch 01
PL　m2310　松明01	PL m2310 torch 01
PL　m2330　松明01	PL m2330 torch 01
PL　m2350　松明01	PL m2350 torch 01
PL　m2360　松明01	PL m2360 torch 01
PL　m2370　松明01	PL m2370 torch 01
PL　m2380　松明01	PL m2380 torch 01
PL　m2390　松明01	PL m2390 torch 01
PL　m2410　松明01	PL m2410 torch 01
PL　m2500　松明01	PL m2500 torch 01
PL　m2500　松明02	PL m2500 torch 02
PL　m2520　松明01	PL m2520 torch 01
PL　m2520　松明02	PL m2520 torch 02
PL　m2520　松明03	PL m2520 torch 03
PL　m2540　松明01	PL m2540 torch 01
PL　m2540　松明02	PL m2540 torch 02
PL　m2540　松明03	PL m2540 torch 03
PL　m2540　松明04	PL m2540 torch 04
PL　m2540　松明05	PL m2540 torch 05
PL　m2540　松明06	PL m2540 torch 06
PL　m2540　松明07	PL m2540 torch 07
PL　m2541　松明01	PL m2541 torch 01
PL　m2541　松明02	PL m2541 torch 02
PL　m2710　松明01	PL m2710 torch 01
sound ボスBGM	sound Boss BGM
へどろ2	Sludge 2
へどろ3	Sludge 3
へどろ１	Sludge 1
ボス滝	Boss waterfall
下水の水飛沫	Water splash of sewage
下水の水飛沫	Water splash of sewage
下水の水飛沫	Water splash of sewage
下水の滝	Waterfall of sewage
下水の滝2	2 waterfall of sewage
滝	Waterfall
地下サウンド1	Underground sound 1
地下サウンド2	Underground sound 2
落とし穴の水飛沫	Water splash of pitfalls
SFX 光の壁 CP1	CP1 wall of light SFX
SFX 光の壁 ボス前	Wall boss before the SFX light
SFX 光の壁 マルチ1	Multi- wall 1 of SFX light
SFX 光の壁 マルチ2	Multi- wall 2 of SFX light
SFX　m2080　松明01	SFX m2080 torch 01
SFX　m2090　松明01	SFX m2090 torch 01
SFX　m2100　下水の水飛沫	Water splash of sewage m2100 SFX
SFX　m2100　松明01	SFX m2100 torch 01
SFX　m2100　松明02	SFX m2100 torch 02
SFX　m2100　松明03	SFX m2100 torch 03
SFX　m2120　松明01	SFX m2120 torch 01
SFX　m2120　松明02	SFX m2120 torch 02
SFX　m2122　松明01	SFX m2122 torch 01
SFX　m2130　松明01	SFX m2130 torch 01
SFX　m2130　松明02	SFX m2130 torch 02
SFX　m2130　厨房の火	Fire m2130 kitchen SFX
SFX　m2200　下水の水飛沫	Water splash of sewage m2200 SFX
SFX　m2200　下水の滝	Waterfall of sewage m2200 SFX
SFX　m2200　松明01	SFX m2200 torch 01
SFX　m2200　霧01	SFX m2200 fog 01
SFX　m2200　霧02	SFX m2200 fog 02
SFX　m2210　松明01	SFX m2210 torch 01
SFX　m2210　松明02	SFX m2210 torch 02
SFX　m2210　落とし穴の滝	Falls m2210 pitfalls SFX
SFX　m2220　松明01	SFX m2220 torch 01
SFX　m2230　松明01	SFX m2230 torch 01
SFX　m2240　松明01	SFX m2240 torch 01
SFX　m2250　松明01	SFX m2250 torch 01
SFX　m2260　松明01	SFX m2260 torch 01
SFX　m2310　松明01	SFX m2310 torch 01
SFX　m2330　松明01	SFX m2330 torch 01
SFX　m2350　松明01	SFX m2350 torch 01
SFX　m2360　松明01	SFX m2360 torch 01
SFX　m2370　松明01	SFX m2370 torch 01
SFX　m2380　松明01	SFX m2380 torch 01
SFX　m2390　松明01	SFX m2390 torch 01
SFX　m2390　落とし穴の水飛沫	Water splash of m2390 pitfalls SFX
SFX　m2410　松明01	SFX m2410 torch 01
